Ectatosticta_davidi	1	2	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Amaurobius_ferox	6	x1	x1	x2	5	8	18	5	1	13	14	4	8	16	15	2
Ectatosticta_davidi-Amaurobius_ferox-percCountMax	0.1995662	0.2278719	0.2278719	0.2957075	0.1661721	0.3100775	0.2806499	0.1796178	0.2482014	0.2343324	0.1609195	0.1594982	0.1756549	0.2211538	0.3355932	0.2476780
Araneus_marmoreus	4	12	12	13	2	10	2	11	6	3	2	7	7	3	1	6
Ectatosticta_davidi-Araneus_marmoreus-percCountMax	0.2981928	0.2588556	0.2588556	0.4611111	0.2681992	0.3711340	0.4967880	0.3061224	0.2997118	0.4501718	0.2964427	0.1847673	0.1945607	0.2845070	0.5701149	0.2375000
Argiope_bruennichi	5	x2	x2	x2	3	9	3	10	8	7	3	1	1	7	6	8
Ectatosticta_davidi-Argiope_bruennichi-percCountMax	0.3381089	0.2722646	0.2722646	0.4423077	0.2608696	0.3165468	0.5240084	0.2994555	0.3185379	0.4533333	0.3201439	0.1861979	0.2287449	0.2933673	0.5592841	0.2176871
Dysdera_silvatica	5	1	1	1	1	5	2	2	3	6	2	4	3	4	5	3
Ectatosticta_davidi-Dysdera_silvatica-percCountMax	0.3723636	0.7337410	0.7337410	0.6963439	0.6810345	0.2941176	0.2981969	0.3057933	0.4168994	0.8205805	0.6926736	0.2614555	0.3421995	0.6386113	0.4255931	0.3647629
Gibbaranea_gibbosa	1	x2	x2	x1	5	1	5	7	4	3	5	3	1	3	2	6
Ectatosticta_davidi-Gibbaranea_gibbosa-percCountMax	0.4435028	0.2911051	0.2911051	0.4223433	0.2531120	0.3581731	0.5263158	0.2891344	0.3017241	0.4912281	0.3125000	0.2748948	0.2825651	0.2376812	0.4576659	0.2334152
Hylyphantes_graminicola	4	13	12	12	9	5	9	8	6	10	9	3	4	10	11	6
Ectatosticta_davidi-Hylyphantes_graminicola-percCountMax	0.3067485	0.1974684	0.1974684	0.3166667	0.2635379	0.3729604	0.4989733	0.3283333	0.3380952	0.4567901	0.2857143	0.1895006	0.2053571	0.2331606	0.5720621	0.2382892
Larinioides_cornutus	8	x2	x2	x1	4	9	4	10	7	3	4	2	2	3	6	7
Ectatosticta_davidi-Larinioides_cornutus-percCountMax	0.3229462	0.2474747	0.2474747	0.4243902	0.2669039	0.3317865	0.5052411	0.3074266	0.3138298	0.4389439	0.3150183	0.1885566	0.2128514	0.2693410	0.5555556	0.2227488
Latrodectus_elegans	3	1	1	1	8	6	2	7	5	11	2	12	12	11	6	5
Ectatosticta_davidi-Latrodectus_elegans-percCountMax	0.3448276	0.2359347	0.2359347	0.3882521	0.1706667	0.2599681	0.2962963	0.2319902	0.2373737	0.4407216	0.2344633	0.1875548	0.2673410	0.1996497	0.4854839	0.3064024
Meta_bourneti	6	x1	x1	x2	4	5	4	10	8	9	4	1	1	9	7	8
Ectatosticta_davidi-Meta_bourneti-percCountMax	0.3138462	0.3048128	0.3048128	0.4033816	0.2682927	0.3495370	0.4891775	0.2925990	0.2938144	0.4566667	0.2771536	0.1997337	0.2262156	0.2989418	0.5852018	0.2332613
Nephilingis_cruentata	5	7	7	2	6	9	6	8	10	13	6	1	1	13	11	10
Ectatosticta_davidi-Nephilingis_cruentata-percCountMax	0.3600000	0.2826667	0.2826667	0.4200477	0.2758621	0.3300248	0.5174672	0.3164062	0.3067332	0.4809689	0.3240000	0.1941098	0.2208835	0.2698413	0.5216401	0.2337349
Oedothorax_gibbosus	4	11	11	x1	1	2	1	7	8	5	1	11	4	5	2	8
Ectatosticta_davidi-Oedothorax_gibbosus-percCountMax	0.3842365	0.1711230	0.1711230	0.2203390	0.3120567	0.3576389	0.5044776	0.3676880	0.3487395	0.5782609	0.3593750	0.1941964	0.2339833	0.3205742	0.6058632	0.2435424
Parasteatoda_lunata	6	x1	x1	x1	4	1	4	10	7	9	4	2	2	9	8	1
Ectatosticta_davidi-Parasteatoda_lunata-percCountMax	0.3413043	0.2227891	0.2227891	0.3852941	0.2616279	0.2783019	0.4802721	0.2922705	0.3190476	0.4552239	0.3656510	0.2047661	0.2316911	0.2744015	0.4935275	0.1924242
Pardosa_pseudoannulata	5	7	7	6	2	13	10	2	15	8	10	14	9	1	11	2
Ectatosticta_davidi-Pardosa_pseudoannulata-percCountMax	0.2729529	0.2334047	0.2334047	0.4463972	0.1783439	0.2687609	0.2821369	0.2005650	0.2465483	0.2507837	0.1873112	0.2226762	0.1964573	0.2551440	0.3277778	0.2218115
Tetragnatha_montana	7	x1	x1	x2	1	8	1	11	10	4	1	2	2	4	9	10
Ectatosticta_davidi-Tetragnatha_montana-percCountMax	0.3253968	0.2226891	0.2226891	0.3629032	0.2466368	0.3641791	0.4721485	0.3123596	0.3228346	0.4584980	0.3303571	0.1975737	0.2589532	0.2842105	0.5510753	0.2547425
Trichonephila_antipodiana	4	12	12	13	12	7	11	10	1	9	1	2	2	9	7	8
Ectatosticta_davidi-Trichonephila_antipodiana-percCountMax	0.3202614	0.2337662	0.2337662	0.3161954	0.1821862	0.2280285	0.3133641	0.2699029	0.2794521	0.3152174	0.1523438	0.1896317	0.1682975	0.1721311	0.3198198	0.1891892
Uloborus_diversus	1	3	3	10	9	6	1	1	5	8	1	4	2	8	4	5
Ectatosticta_davidi-Uloborus_diversus-percCountMax	0.3522167	0.3065327	0.3065327	0.3621701	0.2247191	0.3191851	0.3240059	0.2688172	0.3069307	0.2789474	0.1960227	0.1803279	0.2611940	0.2073579	0.3111888	0.3127962
