Tetragnatha_montana	1	2	3	3	4	5	x2	6	7	8	9	9	x1	10	11	mt	mt	mt
Amaurobius_ferox	12	4	3	3	16	2	x1	7	6	8	15	17	x3	1	5	2	2	2
Tetragnatha_montana-Amaurobius_ferox-percCountMax	0.2924623	0.4906284	0.4359233	0.4359233	0.4701087	0.5268065	0.4845222	0.4293850	0.4735516	0.5502451	0.4304291	0.4304291	0.3120301	0.5281286	0.4397163	1.0000000	1.0000000	1.0000000
Araneus_marmoreus	2	7	5	5	3	9	12	8	4	10	1	1	12	6	11	NA	NA	NA
Tetragnatha_montana-Araneus_marmoreus-percCountMax	0.8752176	0.9546314	0.9035831	0.9035831	0.8935970	0.7482877	0.4922322	0.8862069	0.8711525	0.9236277	0.9181970	0.9181970	0.5096322	0.9185552	0.8282150	NA	NA	NA
Argiope_bruennichi	3	1	4	4	7	11	x1	2	5	9	6	6	x1	8	10	mt	mt	mt
Tetragnatha_montana-Argiope_bruennichi-percCountMax	0.9091910	0.9434507	0.8983990	0.8983990	0.9014218	0.7184170	0.4862013	0.9280668	0.8856947	0.9144033	0.9220986	0.9220986	0.4759576	0.9222299	0.8295142	1.0000000	1.0000000	1.0000000
Dysdera_silvatica	2	4	1	5	6	4	1	3	3	7	5	5	1	4	2	NA	NA	NA
Tetragnatha_montana-Dysdera_silvatica-percCountMax	0.3273543	0.2493151	0.1842105	0.1842105	0.3583815	0.2427184	0.5384615	0.3676471	0.2151163	0.1923990	0.5389222	0.5389222	0.5358650	0.3342175	0.3248408	NA	NA	NA
Ectatosticta_davidi	6	11	7	7	9	15	3	8	1	5	14	14	3	8	7	NA	NA	NA
Tetragnatha_montana-Ectatosticta_davidi-percCountMax	0.3497053	0.2608696	0.1748527	0.1748527	0.2974359	0.1981982	0.3214286	0.2263279	0.2163588	0.2830626	0.5150000	0.5150000	0.2579186	0.2927400	0.4250765	NA	NA	NA
Gibbaranea_gibbosa	5	3	2	2	3	8	x2	4	1	1	2	2	x2	6	7	NA	NA	NA
Tetragnatha_montana-Gibbaranea_gibbosa-percCountMax	0.9063232	0.6881313	0.7780629	0.7780629	0.7827715	0.7552083	0.5098882	0.9122807	0.8928571	0.9204918	0.7133389	0.7133389	0.4986251	0.9437956	0.8283859	NA	NA	NA
Hylyphantes_graminicola	9	3	7	7	10	2	13	1	4	5	11	11	12	6	8	NA	NA	NA
Tetragnatha_montana-Hylyphantes_graminicola-percCountMax	0.8896639	0.9130435	0.8763089	0.8763089	0.8885894	0.6940299	0.4333333	0.8911609	0.9083636	0.9093060	0.8811189	0.8811189	0.4527919	0.9029594	0.8896734	NA	NA	NA
Larinioides_cornutus	4	2	5	5	3	11	x2	1	8	9	6	6	x2	7	10	NA	NA	NA
Tetragnatha_montana-Larinioides_cornutus-percCountMax	0.9032258	0.9416961	0.9115890	0.9115890	0.8760724	0.7269891	0.5032626	0.9032258	0.8837820	0.9088075	0.9185771	0.9185771	0.5116480	0.9274194	0.8328889	NA	NA	NA
Latrodectus_elegans	2	12	2	2	11	5	1	14	3	10	6	6	1	5	7	6	13	10
Tetragnatha_montana-Latrodectus_elegans-percCountMax	0.5122235	0.8276081	0.3095526	0.3095526	0.8136752	0.5604250	0.4355346	0.5882353	0.6883853	0.4945516	0.7487884	0.7487884	0.4392614	0.5489391	0.6511407	0.3333333	0.3333333	0.3333333
Meta_bourneti	4	1	2	2	9	11	x2	3	6	5	7	7	x1	8	10	mt	mt	mt
