chrom	length	bases	mean	min	max
Chr01	145648103	1215197490	8.34	0	2932
Chr02	141386430	1305469743	9.23	0	9794
Chr03	140031403	1221935742	8.73	0	9206
Chr04	139941962	1179200123	8.43	0	3721
Chr05	138595503	1163502647	8.39	0	3258
Chr06	137962949	1213002258	8.79	0	10879
Chr07	131591024	1316098706	10.00	0	2589
Chr08	128342415	1299381871	10.12	0	2737
Chr09	128190292	1100310301	8.58	0	1450
Chr10	124186034	1078091022	8.68	0	2011
Chr11	123255941	1210934328	9.82	0	1788
Chr12	113931073	1199330777	10.53	0	2033
Chr13	113589448	1079072432	9.50	0	3555
Contig1	700098	5876339	8.39	0	105
Contig2	503642	44879271	89.11	0	1721
Contig3	344253	14003733	40.68	0	348
Contig4	321678	6583662	20.47	0	337
Contig5	296227	30063349	101.49	0	1320
Contig6	269898	4290609	15.90	0	440
Contig7	247109	356529	1.44	0	22
Contig8	216321	10599985	49.00	0	520
Contig9	207735	145333	0.70	0	15
Contig10	203883	25974108	127.40	0	5045
Contig11	201865	3213502	15.92	0	183
Contig12	186051	17812558	95.74	0	722
Contig13	175421	1602	0.01	0	2
Contig14	156345	16285177	104.16	0	345
Contig15	150475	3258409	21.65	0	201
Contig16	135971	3825947	28.14	0	179
Contig17	122232	3871824	31.68	0	283
Contig18	119172	1320	0.01	0	2
Contig19	116238	3745451	32.22	0	161
Contig20	106888	3896859	36.46	0	245
Contig21	105227	26	0.00	0	1
Contig22	104000	1230852	11.84	0	155
Contig23	103890	1841848	17.73	0	539
Contig24	101956	5215343	51.15	0	194
Contig25	101842	4806375	47.19	0	235
Contig26	101516	361045	3.56	0	33
Contig27	101398	4548945	44.86	0	435
Contig28	95547	4742880	49.64	0	240
Contig29	95481	1493	0.02	0	1
Contig30	91178	3875426	42.50	0	356
Contig31	89289	2833625	31.74	0	118
Contig32	85415	73057	0.86	0	17
Contig33	82966	770970	9.29	0	101
Contig34	71306	2437207	34.18	0	362
Contig35	70975	2504133	35.28	0	334
Contig36	64586	1167593	18.08	0	90
Contig37	58712	8343184	142.10	0	1322
Contig38	56242	67152	1.19	0	11
Contig39	55980	1512627	27.02	0	183
Contig40	55876	413157	7.39	0	49
Contig41	52538	573564	10.92	0	47
Contig42	52225	551765	10.57	0	93
Contig43	51935	1371597	26.41	0	187
Contig44	51768	1434964	27.72	0	99
Contig45	51490	362362	7.04	0	51
Contig46	51380	2382700	46.37	0	143
Contig47	49726	362004	7.28	0	50
Contig48	47034	6343803	134.88	0	1358
Contig49	46659	544248	11.66	0	45
Contig50	44853	365286	8.14	0	57
Contig51	44290	195441	4.41	0	28
Contig52	44013	506754	11.51	0	264
Contig53	42418	76059	1.79	0	17
Contig54	41552	2288806	55.08	0	513
Contig55	41080	151226	3.68	0	27
Contig56	40328	482552	11.97	0	68
Contig57	39615	400850	10.12	0	89
Contig58	39487	442939	11.22	0	80
Contig59	39137	171850	4.39	0	86
Contig60	38884	402369	10.35	0	85
Contig61	37723	265859	7.05	0	34
Contig62	37648	458533	12.18	0	103
Contig63	37400	2557603	68.39	0	597
Contig64	37388	292466	7.82	0	137
Contig65	37121	278097	7.49	0	43
Contig66	36478	1533927	42.05	0	344
Contig67	36157	366523	10.14	0	41
Contig68	35214	4974519	141.27	0	1340
Contig69	35099	626691	17.85	0	82
Contig70	34465	427652	12.41	0	570
Contig71	33919	359375	10.60	0	89
Contig72	33800	2298973	68.02	0	261
Contig73	33724	158208	4.69	0	26
Contig74	32706	359587	10.99	0	67
Contig75	31823	124874	3.92	0	84
Contig76	31655	101049	3.19	0	27
Contig77	31276	364012	11.64	0	88
Contig78	31158	641201	20.58	0	69
Contig79	30674	1015629	33.11	0	190
Contig80	29757	509032	17.11	0	82
Contig81	29483	4070792	138.07	0	1305
Contig82	29460	190092	6.45	0	46
Contig83	29339	129270	4.41	0	30
Contig84	28856	295849	10.25	0	54
Contig85	28693	263190	9.17	0	60
Contig86	28361	127789	4.51	0	20
Contig87	28171	202289	7.18	0	53
Contig88	28126	4729413	168.15	0	933
Contig89	27995	208900	7.46	0	47
Contig90	27806	282515	10.16	0	45
Contig91	27729	99798	3.60	0	69
Contig92	27295	1134394	41.56	0	138
Contig93	26816	86768	3.24	0	28
Contig94	26673	15203594	570.00	0	4771
Contig95	26456	139317	5.27	0	70
Contig96	26378	3860247	146.34	0	1338
Contig97	24768	4544213	183.47	0	507
Contig98	24699	241111	9.76	0	56
Contig99	24591	256361	10.42	0	111
Contig100	22915	137777	6.01	0	21
Contig101	22863	5953334	260.39	0	1193
Contig102	22697	1074635	47.35	0	329
Contig103	22371	1128578	50.45	0	468
Contig104	22046	576175	26.14	0	303
Contig105	21134	3367811	159.36	1	934
Contig106	20804	3252740	156.35	0	1103
Contig107	19337	4202571	217.33	0	518
Contig108	18973	145357	7.66	0	45
Contig109	18357	561156	30.57	0	90
Contig110	17537	797906	45.50	0	152
Contig111	17350	7329401	422.44	0	9150
Contig112	16706	2923445	174.99	0	1176
Contig113	16668	2457014	147.41	0	346
Contig114	16655	2062641	123.85	0	350
Contig115	16644	4858889	291.93	0	628
Contig116	16067	1140821	71.00	0	562
Contig117	15129	1702941	112.56	0	543
Contig118	14319	2357509	164.64	0	3080
Contig119	14225	171505	12.06	0	64
Contig120	13711	2114715	154.23	0	375
Contig121	13447	178402	13.27	0	42
Contig122	13333	76385	5.73	0	29
Contig123	13296	3147836	236.75	1	657
Contig124	12896	4942111	383.23	0	1480
Contig125	12301	2499750	203.22	0	644
Contig126	12285	2183174	177.71	0	526
Contig127	12038	454531	37.76	0	229
Contig128	11836	41829	3.53	0	17
Contig129	11606	1352271	116.51	0	242
Contig130	11535	439856	38.13	0	92
Contig131	11355	2106733	185.53	0	712
Contig132	11217	2865803	255.49	0	691
Contig133	10757	1106482	102.86	0	665
Contig134	10675	18088	1.69	0	11
Contig135	10639	17891	1.68	0	14
Contig136	9770	27634	2.83	0	19
Contig137	9436	8532979	904.30	0	4567
Contig138	9400	2843547	302.50	1	1236
Contig139	9286	1148122	123.64	0	736
Contig140	9145	1721387	188.23	0	1018
Contig141	8182	41234	5.04	0	25
Contig142	8104	91755	11.32	0	27
Contig143	7930	1787942	225.47	0	659
Contig144	7885	2660396	337.40	0	3064
Contig145	7286	1725891	236.88	0	514
Contig146	7149	2696542	377.19	0	3104
Contig147	6653	1304427	196.07	0	589
Contig148	5710	1010390	176.95	0	853
Contig149	5587	7700	1.38	0	16
Contig150	5543	14480	2.61	0	14
Contig151	5291	418135	79.03	0	285
Contig152	5228	1247570	238.63	0	616
Contig153	5200	1403056	269.82	0	733
Contig154	5183	736565	142.11	0	614
Contig155	5156	8427684	1634.54	0	8828
Contig156	4991	18799	3.77	0	21
Contig157	4726	199109	42.13	0	106
Contig158	4615	524355	113.62	0	321
Contig159	4598	4338	0.94	0	8
Contig160	3926	123452	31.44	0	62
Contig161	3793	72570	19.13	0	36
Contig162	3720	927526	249.33	0	685
Contig163	3441	118998	34.58	0	104
Contig164	3436	309687	90.13	0	353
Contig165	3429	471409	137.48	0	303
Contig166	3379	953966	282.32	0	974
Contig167	2968	786791	265.09	0	1710
Contig168	2905	133798	46.06	0	214
Contig169	2859	12383	4.33	0	44
Contig170	2770	1255800	453.36	1	1477
Contig171	2732	386758	141.57	0	313
Contig172	2372	1453	0.61	0	15
