chrom	length	bases	mean	min	max
Chr01	145648103	1247035826	8.56	0	2451
Chr02	141386430	785642330	5.56	0	20778
Chr03	140031403	1261477151	9.01	0	19607
Chr04	139941962	1220842762	8.72	0	2519
Chr05	138595503	1184013916	8.54	0	25847
Chr06	137962949	1197400822	8.68	0	24282
Chr07	131591024	817230720	6.21	0	4693
Chr08	128342415	1313581932	10.23	0	6339
Chr09	128190292	1111633176	8.67	0	6322
Chr10	124186034	1117415738	9.00	0	4181
Chr11	123255941	1216032788	9.87	0	2612
Chr12	113931073	1210017927	10.62	0	3217
Chr13	113589448	1069181461	9.41	0	2235
Contig1	700098	4142257	5.92	0	85
Contig2	503642	7452573	14.80	0	153
Contig3	344253	13028120	37.84	0	228
Contig4	321678	4637680	14.42	0	417
Contig5	296227	31331542	105.77	0	4350
Contig6	269898	4244154	15.73	0	554
Contig7	247109	353371	1.43	0	306
Contig8	216321	8757818	40.49	0	305
Contig9	207735	139336	0.67	0	18
Contig10	203883	13876536	68.06	0	1253
Contig11	201865	1908202	9.45	0	98
Contig12	186051	10713640	57.58	0	606
Contig13	175421	6597	0.04	0	2
Contig14	156345	15239730	97.48	0	701
Contig15	150475	684400	4.55	0	47
Contig16	135971	7802382	57.38	0	284
Contig17	122232	1772793	14.50	0	267
Contig18	119172	6878	0.06	0	3
Contig19	116238	3183669	27.39	0	283
Contig20	106888	3759473	35.17	0	227
Contig21	105227	21	0.00	0	1
Contig22	104000	836780	8.05	0	97
Contig23	103890	1708662	16.45	0	403
Contig24	101956	3547756	34.80	0	129
Contig25	101842	2347155	23.05	0	121
Contig26	101516	708317	6.98	0	58
Contig27	101398	3775574	37.24	0	220
Contig28	95547	2161653	22.62	0	139
Contig29	95481	3510	0.04	0	3
Contig30	91178	3020366	33.13	0	220
Contig31	89289	5563345	62.31	0	281
Contig32	85415	73402	0.86	0	9
Contig33	82966	928767	11.19	0	124
Contig34	71306	2420931	33.95	0	391
Contig35	70975	1108212	15.61	0	215
Contig36	64586	2464606	38.16	0	122
Contig37	58712	2105850	35.87	0	303
Contig38	56242	567157	10.08	0	61
Contig39	55980	1279890	22.86	0	214
Contig40	55876	109594	1.96	0	38
Contig41	52538	309341	5.89	0	36
Contig42	52225	338977	6.49	0	57
Contig43	51935	511546	9.85	0	76
Contig44	51768	3067951	59.26	0	242
Contig45	51490	229431	4.46	0	34
Contig46	51380	1989169	38.71	0	159
Contig47	49726	98203	1.97	0	15
Contig48	47034	1613468	34.30	0	316
Contig49	46659	605993	12.99	0	64
Contig50	44853	237718	5.30	0	42
Contig51	44290	227248	5.13	0	35
Contig52	44013	1088020	24.72	0	314
Contig53	42418	120160	2.83	0	15
Contig54	41552	1672733	40.26	0	270
Contig55	41080	197199	4.80	0	35
Contig56	40328	234107	5.81	0	56
Contig57	39615	189024	4.77	0	47
Contig58	39487	233443	5.91	0	56
Contig59	39137	1915013	48.93	0	810
Contig60	38884	481917	12.39	0	139
Contig61	37723	75971	2.01	0	47
Contig62	37648	321075	8.53	0	66
Contig63	37400	2065538	55.23	0	307
Contig64	37388	842509	22.53	0	300
Contig65	37121	161514	4.35	0	23
Contig66	36478	1408049	38.60	0	281
Contig67	36157	181367	5.02	0	39
Contig68	35214	1137066	32.29	0	275
Contig69	35099	1301486	37.08	0	111
Contig70	34465	541631	15.72	0	211
Contig71	33919	172102	5.07	0	39
Contig72	33800	1360121	40.24	0	113
Contig73	33724	178409	5.29	0	31
Contig74	32706	162020	4.95	0	37
Contig75	31823	72700	2.28	0	38
Contig76	31655	860174	27.17	0	122
Contig77	31276	170277	5.44	0	43
Contig78	31158	298851	9.59	0	74
Contig79	30674	895960	29.21	0	117
Contig80	29757	1173658	39.44	0	322
Contig81	29483	938926	31.85	0	307
Contig82	29460	79385	2.69	0	21
Contig83	29339	162444	5.54	0	34
Contig84	28856	151188	5.24	0	36
Contig85	28693	128449	4.48	0	34
Contig86	28361	154690	5.45	0	23
Contig87	28171	59376	2.11	0	40
Contig88	28126	13104923	465.94	0	2717
Contig89	27995	66351	2.37	0	47
Contig90	27806	93503	3.36	0	15
Contig91	27729	59082	2.13	0	35
Contig92	27295	605094	22.17	0	105
Contig93	26816	773475	28.84	0	119
Contig94	26673	6006025	225.17	0	1659
Contig95	26456	441995	16.71	0	51
Contig96	26378	915439	34.70	0	297
