chrom	length	bases	mean	min	max
Chr01	145648103	1046858229	7.19	0	3463
Chr02	141386430	708554791	5.01	0	13494
Chr03	140031403	1068820783	7.63	0	13415
Chr04	139941962	1041063908	7.44	0	6504
Chr05	138595503	1035216600	7.47	0	14671
Chr06	137962949	1060946545	7.69	0	17276
Chr07	131591024	743268395	5.65	0	4209
Chr08	128342415	1166915938	9.09	0	7907
Chr09	128190292	952010985	7.43	0	4373
Chr10	124186034	974978019	7.85	0	3024
Chr11	123255941	1015665655	8.24	0	1753
Chr12	113931073	1131535888	9.93	0	3494
Chr13	113589448	938993192	8.27	0	1500
Contig1	700098	2254980	3.22	0	89
Contig2	503642	77546043	153.97	0	5561
Contig3	344253	14856212	43.15	0	472
Contig4	321678	6282966	19.53	0	385
Contig5	296227	64393361	217.38	0	10162
Contig6	269898	4674194	17.32	0	397
Contig7	247109	580367	2.35	0	97
Contig8	216321	9006737	41.64	0	425
Contig9	207735	1608209	7.74	0	139
Contig10	203883	60336052	295.93	0	9916
Contig11	201865	3006065	14.89	0	170
Contig12	186051	7020246	37.73	0	254
Contig13	175421	2901	0.02	0	1
Contig14	156345	3727927	23.84	0	379
Contig15	150475	1178378	7.83	0	113
Contig16	135971	1316659	9.68	0	206
Contig17	122232	319982	2.62	0	22
Contig18	119172	1411	0.01	0	2
Contig19	116238	2977744	25.62	0	203
Contig20	106888	4594867	42.99	0	372
Contig21	105227	46	0.00	0	2
Contig22	104000	1722730	16.56	0	246
Contig23	103890	377878	3.64	0	69
Contig24	101956	3915452	38.40	0	173
Contig25	101842	2021317	19.85	0	117
Contig26	101516	352511	3.47	0	37
Contig27	101398	4224557	41.66	0	515
Contig28	95547	1968946	20.61	0	163
Contig29	95481	1524	0.02	0	1
Contig30	91178	3635952	39.88	0	210
Contig31	89289	665275	7.45	0	95
Contig32	85415	92229	1.08	0	13
Contig33	82966	256421	3.09	0	53
Contig34	71306	2606029	36.55	0	253
Contig35	70975	570353	8.04	0	84
Contig36	64586	1595701	24.71	0	88
Contig37	58712	18886975	321.69	0	3338
Contig38	56242	22581	0.40	0	6
Contig39	55980	486668	8.69	0	67
Contig40	55876	59951	1.07	0	32
Contig41	52538	243513	4.63	0	41
Contig42	52225	237343	4.54	0	30
Contig43	51935	810990	15.62	0	171
Contig44	51768	284089	5.49	0	41
Contig45	51490	262252	5.09	0	36
Contig46	51380	1790093	34.84	0	154
Contig47	49726	41882	0.84	0	9
Contig48	47034	14003500	297.73	0	3348
Contig49	46659	686679	14.72	0	68
Contig50	44853	209092	4.66	0	32
Contig51	44290	144812	3.27	0	40
Contig52	44013	488519	11.10	0	334
Contig53	42418	55936	1.32	0	16
Contig54	41552	1741818	41.92	0	216
Contig55	41080	110378	2.69	0	24
Contig56	40328	201539	5.00	0	78
Contig57	39615	132758	3.35	0	42
Contig58	39487	55571	1.41	0	14
Contig59	39137	176104	4.50	0	96
Contig60	38884	126055	3.24	0	50
Contig61	37723	38123	1.01	0	29
Contig62	37648	137239	3.65	0	25
Contig63	37400	2728513	72.95	0	420
Contig64	37388	271726	7.27	0	300
Contig65	37121	168032	4.53	0	34
Contig66	36478	1656736	45.42	0	291
Contig67	36157	131913	3.65	0	35
Contig68	35214	10690349	303.58	0	3276
Contig69	35099	844033	24.05	0	72
Contig70	34465	345572	10.03	0	405
Contig71	33919	122226	3.60	0	44
Contig72	33800	1160295	34.33	0	313
Contig73	33724	113302	3.36	0	30
Contig74	32706	39571	1.21	0	16
Contig75	31823	120564	3.79	0	52
Contig76	31655	102282	3.23	0	37
