chrom	length	bases	mean	min	max
Chr01	145648103	1454787862	9.99	0	2310
Chr02	141386430	1573585399	11.13	0	7862
Chr03	140031403	1392462230	9.94	0	8184
Chr04	139941962	1378365234	9.85	0	2603
Chr05	138595503	1338098868	9.65	0	3054
Chr06	137962949	1396508234	10.12	0	9138
Chr07	131591024	1528404663	11.61	0	2734
Chr08	128342415	1489444348	11.61	0	3712
Chr09	128190292	1300513576	10.15	0	1951
Chr10	124186034	1221579621	9.84	0	1761
Chr11	123255941	1364679271	11.07	0	1570
Chr12	113931073	1351631532	11.86	0	2135
Chr13	113589448	1235943884	10.88	0	1235
Contig1	700098	6753312	9.65	0	115
Contig2	503642	18411292	36.56	0	2175
Contig3	344253	8470792	24.61	0	182
Contig4	321678	8771519	27.27	0	731
Contig5	296227	24851968	83.90	0	1686
Contig6	269898	6930351	25.68	0	381
Contig7	247109	432361	1.75	0	82
Contig8	216321	5856150	27.07	0	168
Contig9	207735	4005743	19.28	0	165
Contig10	203883	15361964	75.35	0	1222
Contig11	201865	3656442	18.11	0	119
Contig12	186051	3482866	18.72	0	108
Contig13	175421	17113	0.10	0	3
Contig14	156345	6250330	39.98	0	261
Contig15	150475	4070026	27.05	0	206
Contig16	135971	6674560	49.09	0	304
Contig17	122232	3692570	30.21	0	578
Contig18	119172	5414	0.05	0	4
Contig19	116238	3755050	32.30	0	162
Contig20	106888	2415377	22.60	0	125
Contig21	105227	23	0.00	0	1
Contig22	104000	1587827	15.27	0	158
Contig23	103890	439489	4.23	0	92
Contig24	101956	3084007	30.25	0	114
Contig25	101842	4537329	44.55	0	194
Contig26	101516	625643	6.16	0	46
Contig27	101398	2613260	25.77	0	126
Contig28	95547	4463598	46.72	0	286
Contig29	95481	5576	0.06	0	4
Contig30	91178	1601857	17.57	0	116
Contig31	89289	5277758	59.11	0	272
Contig32	85415	750894	8.79	0	40
Contig33	82966	352564	4.25	0	51
Contig34	71306	1184119	16.61	0	107
Contig35	70975	1234568	17.39	0	147
Contig36	64586	1851310	28.66	0	133
Contig37	58712	5506541	93.79	0	665
Contig38	56242	529950	9.42	0	61
Contig39	55980	561615	10.03	0	75
Contig40	55876	333007	5.96	0	105
