chrom	length	bases	mean	min	max
Chr01	145648103	1120988486	7.70	0	3220
Chr02	141386430	728477538	5.15	0	17184
Chr03	140031403	1183662178	8.45	0	17606
Chr04	139941962	1074205491	7.68	0	3904
Chr05	138595503	1063937343	7.68	0	28698
Chr06	137962949	1097223001	7.95	0	21226
Chr07	131591024	776168618	5.90	0	4917
Chr08	128342415	1236574951	9.63	0	4752
Chr09	128190292	1015590659	7.92	0	6739
Chr10	124186034	986294348	7.94	0	3721
Chr11	123255941	1078535606	8.75	0	2413
Chr12	113931073	1114987505	9.79	0	3394
Chr13	113589448	992700648	8.74	0	1545
Contig1	700098	3379135	4.83	0	105
Contig2	503642	29471072	58.52	0	1015
Contig3	344253	12577360	36.54	0	206
Contig4	321678	6505813	20.22	0	473
Contig5	296227	24861653	83.93	0	1518
Contig6	269898	6473689	23.99	0	1108
Contig7	247109	266911	1.08	0	73
Contig8	216321	6903870	31.91	0	237
Contig9	207735	1472834	7.09	0	38
Contig10	203883	20162755	98.89	0	4626
Contig11	201865	2286069	11.32	0	128
Contig12	186051	6744657	36.25	0	290
Contig13	175421	12014	0.07	0	3
Contig14	156345	12182543	77.92	0	338
Contig15	150475	1886767	12.54	0	111
Contig16	135971	1517644	11.16	0	157
Contig17	122232	1298279	10.62	0	488
Contig18	119172	11920	0.10	0	4
Contig19	116238	3433024	29.53	0	230
Contig20	106888	3649805	34.15	0	239
Contig21	105227	53	0.00	0	1
Contig22	104000	1028255	9.89	0	151
Contig23	103890	728867	7.02	0	76
Contig24	101956	2832040	27.78	0	164
Contig25	101842	1832508	17.99	0	98
Contig26	101516	345908	3.41	0	39
Contig27	101398	3458394	34.11	0	249
Contig28	95547	1706072	17.86	0	98
Contig29	95481	4416	0.05	0	3
Contig30	91178	3093203	33.92	0	149
Contig31	89289	1570034	17.58	0	199
Contig32	85415	888574	10.40	0	42
Contig33	82966	473307	5.70	0	44
Contig34	71306	2420561	33.95	0	214
Contig35	70975	1778864	25.06	0	193
Contig36	64586	2112677	32.71	0	118
Contig37	58712	5572018	94.90	0	833
Contig38	56242	33057	0.59	0	9
Contig39	55980	1117095	19.96	0	174
Contig40	55876	744087	13.32	0	162
Contig41	52538	208120	3.96	0	41
Contig42	52225	313532	6.00	0	65
Contig43	51935	750087	14.44	0	130
Contig44	51768	427888	8.27	0	64
Contig45	51490	229806	4.46	0	24
Contig46	51380	1570252	30.56	0	133
Contig47	49726	511858	10.29	0	59
Contig48	47034	4118186	87.56	0	847
Contig49	46659	846491	18.14	0	107
Contig50	44853	214818	4.79	0	25
Contig51	44290	451294	10.19	0	59
Contig52	44013	490910	11.15	0	219
Contig53	42418	116881	2.76	0	33
Contig54	41552	1281198	30.83	0	114
Contig55	41080	376906	9.17	0	61
Contig56	40328	168107	4.17	0	56
Contig57	39615	310656	7.84	0	67
Contig58	39487	194633	4.93	0	41
Contig59	39137	198151	5.06	0	44
Contig60	38884	225882	5.81	0	35
Contig61	37723	434246	11.51	0	97
Contig62	37648	275760	7.32	0	57
Contig63	37400	1375809	36.79	0	173
Contig64	37388	271541	7.26	0	178
Contig65	37121	163687	4.41	0	29
Contig66	36478	672106	18.42	0	196
Contig67	36157	287513	7.95	0	45
Contig68	35214	3577752	101.60	0	869
Contig69	35099	1124290	32.03	0	121
Contig70	34465	486048	14.10	0	515
Contig71	33919	286761	8.45	0	70
Contig72	33800	1071350	31.70	0	403
Contig73	33724	357488	10.60	0	68
Contig74	32706	145396	4.45	0	26
Contig75	31823	102120	3.21	0	44
Contig76	31655	131828	4.16	0	25
Contig77	31276	281082	8.99	0	89
Contig78	31158	400124	12.84	0	45
Contig79	30674	418599	13.65	0	114
Contig80	29757	996559	33.49	0	193
Contig81	29483	2600612	88.21	0	851
Contig82	29460	123518	4.19	0	31
Contig83	29339	297444	10.14	0	69
Contig84	28856	118820	4.12	0	31
Contig85	28693	75966	2.65	0	24
Contig86	28361	124308	4.38	0	28
Contig87	28171	454179	16.12	0	167
Contig88	28126	4222135	150.12	0	1425
Contig89	27995	284963	10.18	0	82
Contig90	27806	184056	6.62	0	41
Contig91	27729	90194	3.25	0	41
