chrom	length	bases	mean	min	max
Chr01	145648103	1212822016	8.33	0	2323
Chr02	141386430	1278112815	9.04	0	8480
Chr03	140031403	1210376658	8.64	0	8850
Chr04	139941962	1123066183	8.03	0	2691
Chr05	138595503	1176606123	8.49	0	4655
Chr06	137962949	1170331499	8.48	0	11382
Chr07	131591024	1311883644	9.97	0	3299
Chr08	128342415	1315866638	10.25	0	3598
Chr09	128190292	1093870094	8.53	0	2310
Chr10	124186034	1066758967	8.59	0	1914
Chr11	123255941	1201685249	9.75	0	1499
Chr12	113931073	1258415181	11.05	0	3300
Chr13	113589448	1099760306	9.68	0	1926
Contig1	700098	5929083	8.47	0	109
Contig2	503642	50837768	100.94	0	4281
Contig3	344253	11180757	32.48	0	465
Contig4	321678	10552971	32.81	0	894
Contig5	296227	53808528	181.65	0	3341
Contig6	269898	9914008	36.73	0	483
Contig7	247109	1274269	5.16	0	25
Contig8	216321	7491646	34.63	0	168
Contig9	207735	1579254	7.60	0	100
Contig10	203883	29006480	142.27	0	3183
Contig11	201865	2966575	14.70	0	183
Contig12	186051	5502404	29.57	0	146
Contig13	175421	637	0.00	0	1
Contig14	156345	5635337	36.04	0	349
Contig15	150475	1206858	8.02	0	93
Contig16	135971	5777227	42.49	0	418
Contig17	122232	1409501	11.53	0	151
Contig18	119172	398	0.00	0	1
Contig19	116238	4762379	40.97	0	297
Contig20	106888	3142453	29.40	0	197
Contig21	105227	3394	0.03	0	2
Contig22	104000	1115219	10.72	0	158
Contig23	103890	233151	2.24	0	28
Contig24	101956	4186010	41.06	0	192
Contig25	101842	4497043	44.16	0	296
Contig26	101516	483878	4.77	0	74
Contig27	101398	3163462	31.20	0	216
Contig28	95547	4162370	43.56	0	302
Contig29	95481	749	0.01	0	1
Contig30	91178	2665313	29.23	0	209
Contig31	89289	7228513	80.96	0	703
Contig32	85415	285212	3.34	0	20
Contig33	82966	248819	3.00	0	29
Contig34	71306	2079687	29.17	0	120
Contig35	70975	2025133	28.53	0	222
Contig36	64586	2692993	41.70	0	281
Contig37	58712	13463988	229.32	0	2328
Contig38	56242	70652	1.26	0	16
Contig39	55980	1409364	25.18	0	202
Contig40	55876	280292	5.02	0	75
Contig41	52538	453885	8.64	0	70
Contig42	52225	412535	7.90	0	90
Contig43	51935	1002013	19.29	0	230
Contig44	51768	2178245	42.08	0	147
Contig45	51490	306556	5.95	0	61
Contig46	51380	1531808	29.81	0	102
Contig47	49726	218790	4.40	0	24
Contig48	47034	10250610	217.94	0	2301
Contig49	46659	1447509	31.02	0	168
Contig50	44853	277484	6.19	0	57
Contig51	44290	112303	2.54	0	24
Contig52	44013	362931	8.25	0	216
Contig53	42418	211859	4.99	0	61
Contig54	41552	1896579	45.64	0	129
Contig55	41080	106040	2.58	0	23
