chrom	length	bases	mean	min	max
Chr01	145648103	1333642792	9.16	0	4013
Chr02	141386430	858439037	6.07	0	21004
Chr03	140031403	1302046752	9.30	0	19803
Chr04	139941962	1256067479	8.98	0	3705
Chr05	138595503	1236098937	8.92	0	13131
Chr06	137962949	1309124795	9.49	0	24994
Chr07	131591024	886189228	6.73	0	5170
Chr08	128342415	1426837780	11.12	0	5678
Chr09	128190292	1166192757	9.10	0	6237
Chr10	124186034	1164112289	9.37	0	4326
Chr11	123255941	1290370460	10.47	0	2346
Chr12	113931073	1325957207	11.64	0	3359
Chr13	113589448	1128051725	9.93	0	2296
Contig1	700098	4030441	5.76	0	84
Contig2	503642	28411726	56.41	0	3645
Contig3	344253	12411925	36.05	0	420
Contig4	321678	4517609	14.04	0	231
Contig5	296227	39119355	132.06	0	2125
Contig6	269898	1578509	5.85	0	81
Contig7	247109	602001	2.44	0	124
Contig8	216321	5779149	26.72	0	207
Contig9	207735	1828166	8.80	0	124
Contig10	203883	24303806	119.20	0	1749
Contig11	201865	3715811	18.41	0	155
Contig12	186051	12876943	69.21	0	378
Contig13	175421	10019	0.06	0	3
Contig14	156345	8081555	51.69	0	314
Contig15	150475	1245480	8.28	0	76
Contig16	135971	2813095	20.69	0	137
Contig17	122232	1070432	8.76	0	43
Contig18	119172	5161	0.04	0	2
Contig19	116238	3971569	34.17	0	240
Contig20	106888	3433878	32.13	0	436
Contig21	105227	76	0.00	0	2
Contig22	104000	1390794	13.37	0	150
Contig23	103890	729135	7.02	0	542
Contig24	101956	2775029	27.22	0	132
Contig25	101842	1055715	10.37	0	60
Contig26	101516	361959	3.57	0	65
Contig27	101398	3442197	33.95	0	211
Contig28	95547	1027666	10.76	0	77
Contig29	95481	5786	0.06	0	2
Contig30	91178	4694475	51.49	0	272
Contig31	89289	2203727	24.68	0	217
Contig32	85415	136584	1.60	0	15
Contig33	82966	766034	9.23	0	103
Contig34	71306	2096705	29.40	0	209
Contig35	70975	1008689	14.21	0	181
Contig36	64586	1159232	17.95	0	75
Contig37	58712	9120876	155.35	0	1129
Contig38	56242	114448	2.03	0	19
Contig39	55980	1016956	18.17	0	203
Contig40	55876	109277	1.96	0	42
Contig41	52538	337477	6.42	0	58
Contig42	52225	320568	6.14	0	57
Contig43	51935	1420822	27.36	0	161
Contig44	51768	958055	18.51	0	126
Contig45	51490	274602	5.33	0	27
Contig46	51380	1715586	33.39	0	160
Contig47	49726	85544	1.72	0	40
Contig48	47034	6642227	141.22	0	1133
Contig49	46659	309363	6.63	0	39
Contig50	44853	234962	5.24	0	35
Contig51	44290	394279	8.90	0	53
Contig52	44013	177660	4.04	0	87
Contig53	42418	169053	3.99	0	31
Contig54	41552	1222806	29.43	0	199
Contig55	41080	343227	8.36	0	46
Contig56	40328	254383	6.31	0	60
Contig57	39615	196019	4.95	0	47
Contig58	39487	198663	5.03	0	40
Contig59	39137	193242	4.94	0	90
Contig60	38884	383347	9.86	0	114
Contig61	37723	64341	1.71	0	38
Contig62	37648	311387	8.27	0	69
Contig63	37400	3109702	83.15	0	422
Contig64	37388	134783	3.60	0	101
Contig65	37121	201114	5.42	0	39
Contig66	36478	1106563	30.34	0	266
Contig67	36157	162640	4.50	0	27
Contig68	35214	4865772	138.18	0	1112
Contig69	35099	609914	17.38	0	51
Contig70	34465	314130	9.11	0	392
Contig71	33919	182262	5.37	0	61
Contig72	33800	1610430	47.65	0	161
Contig73	33724	308843	9.16	0	49
Contig74	32706	155114	4.74	0	45
Contig75	31823	111974	3.52	0	68
Contig76	31655	118502	3.74	0	36
Contig77	31276	160179	5.12	0	54
Contig78	31158	411275	13.20	0	66
Contig79	30674	711355	23.19	0	98
Contig80	29757	554918	18.65	0	292
Contig81	29483	4161823	141.16	0	1124
Contig82	29460	109446	3.72	0	30
Contig83	29339	277771	9.47	0	50
Contig84	28856	128664	4.46	0	39
Contig85	28693	166018	5.79	0	52
Contig86	28361	165455	5.83	0	34
Contig87	28171	66261	2.35	0	37
Contig88	28126	11627986	413.42	0	2365
Contig89	27995	57816	2.07	0	47
Contig90	27806	185508	6.67	0	33
Contig91	27729	105092	3.79	0	53
Contig92	27295	253003	9.27	0	60
Contig93	26816	100351	3.74	0	42
Contig94	26673	5542112	207.78	0	1810
Contig95	26456	268564	10.15	0	87
Contig96	26378	3963821	150.27	0	1117
Contig97	24768	2660625	107.42	0	660
Contig98	24699	170832	6.92	0	40
Contig99	24591	97526	3.97	0	34
Contig100	22915	31467	1.37	0	9
Contig101	22863	13847178	605.66	0	2736
Contig102	22697	819363	36.10	0	303
Contig103	22371	2085314	93.22	0	758
Contig104	22046	140234	6.36	0	82
Contig105	21134	10294041	487.08	2	2432
Contig106	20804	6802514	326.98	0	2683
Contig107	19337	4825905	249.57	0	490
Contig108	18973	41684	2.20	0	35
Contig109	18357	439527	23.94	0	69
Contig110	17537	1244112	70.94	0	357
Contig111	17350	13196187	760.59	0	21377
Contig112	16706	5700875	341.25	0	3105
Contig113	16668	3673409	220.39	1	380
Contig114	16655	3291950	197.66	0	590
Contig115	16644	7338867	440.93	0	1077
Contig116	16067	2680791	166.85	0	756
Contig117	15129	2765415	182.79	0	801
Contig118	14319	4794379	334.83	0	6183
Contig119	14225	226056	15.89	0	76
Contig120	13711	5674606	413.87	0	1318
Contig121	13447	87098	6.48	0	37
Contig122	13333	143139	10.74	0	44
Contig123	13296	5293048	398.09	1	1208
Contig124	12896	7320483	567.66	2	2241
Contig125	12301	3813610	310.02	0	1238
Contig126	12285	7144748	581.58	1	1036
Contig127	12038	897379	74.55	0	336
