chrom	length	bases	mean	min	max
Chr01	145648103	1004156461	6.89	0	2368
Chr02	141386430	1097911369	7.77	0	17567
Chr03	140031403	1013843728	7.24	0	16702
Chr04	139941962	972366308	6.95	0	3338
Chr05	138595503	923427405	6.66	0	6479
Chr06	137962949	1017757061	7.38	0	22392
Chr07	131591024	1125019908	8.55	0	4550
Chr08	128342415	1147654082	8.94	0	5947
Chr09	128190292	919315106	7.17	0	2040
Chr10	124186034	920792902	7.41	0	3441
Chr11	123255941	981433450	7.96	0	1906
Chr12	113931073	1025115087	9.00	0	2825
Chr13	113589448	868714746	7.65	0	1971
Contig1	700098	4147846	5.92	0	144
Contig2	503642	11578603	22.99	0	542
Contig3	344253	12532152	36.40	0	508
Contig4	321678	6862457	21.33	0	339
Contig5	296227	34812011	117.52	0	5389
Contig6	269898	4821712	17.86	0	464
Contig7	247109	1827247	7.39	0	68
Contig8	216321	6607433	30.54	0	206
Contig9	207735	2535375	12.20	0	106
Contig10	203883	16718260	82.00	0	1335
Contig11	201865	2566998	12.72	0	208
Contig12	186051	6643264	35.71	0	302
Contig13	175421	3116	0.02	0	1
Contig14	156345	3494217	22.35	0	191
Contig15	150475	2536421	16.86	0	168
Contig16	135971	5156361	37.92	0	326
Contig17	122232	2337668	19.12	0	321
Contig18	119172	2389	0.02	0	4
Contig19	116238	4215644	36.27	0	263
Contig20	106888	3608697	33.76	0	269
Contig21	105227	40	0.00	0	2
Contig22	104000	1012248	9.73	0	194
Contig23	103890	371678	3.58	0	52
Contig24	101956	2804557	27.51	0	157
Contig25	101842	3461762	33.99	0	201
Contig26	101516	337096	3.32	0	41
Contig27	101398	3574271	35.25	0	195
Contig28	95547	3262245	34.14	0	218
Contig29	95481	1296	0.01	0	1
Contig30	91178	2962696	32.49	0	251
Contig31	89289	4692315	52.55	0	393
Contig32	85415	437631	5.12	0	24
Contig33	82966	441342	5.32	0	75
Contig34	71306	2176596	30.52	0	211
Contig35	70975	686068	9.67	0	134
Contig36	64586	1167188	18.07	0	114
Contig37	58712	3844778	65.49	0	422
Contig38	56242	68387	1.22	0	17
Contig39	55980	442683	7.91	0	68
