chrom	length	bases	mean	min	max
Chr01	145648103	1305317982	8.96	0	2943
Chr02	141386430	1329657917	9.40	0	16729
Chr03	140031403	1245195016	8.89	0	17013
Chr04	139941962	1225957049	8.76	0	4324
Chr05	138595503	1181268059	8.52	0	6132
Chr06	137962949	1263133229	9.16	0	21646
Chr07	131591024	1417994476	10.78	0	5857
Chr08	128342415	1453414733	11.32	0	11683
Chr09	128190292	1167065505	9.10	0	2592
Chr10	124186034	1168989019	9.41	0	3176
Chr11	123255941	1212232134	9.84	0	1813
Chr12	113931073	1294153186	11.36	0	3705
Chr13	113589448	1111159267	9.78	0	1786
Contig1	700098	6244130	8.92	0	124
Contig2	503642	21117624	41.93	0	682
Contig3	344253	23962417	69.61	0	827
Contig4	321678	6223218	19.35	0	611
Contig5	296227	14519152	49.01	0	1131
Contig6	269898	5499827	20.38	0	412
Contig7	247109	1173601	4.75	0	757
Contig8	216321	12073134	55.81	0	614
Contig9	207735	1333991	6.42	0	39
Contig10	203883	10066200	49.37	0	528
Contig11	201865	3447063	17.08	0	207
Contig12	186051	24640985	132.44	0	733
Contig13	175421	19155	0.11	0	2
Contig14	156345	4287357	27.42	0	553
Contig15	150475	2641796	17.56	0	84
Contig16	135971	1042289	7.67	0	114
Contig17	122232	1200054	9.82	0	54
Contig18	119172	16904	0.14	0	8
Contig19	116238	4454965	38.33	0	170
Contig20	106888	6859595	64.18	0	454
Contig21	105227	22	0.00	0	1
Contig22	104000	1321748	12.71	0	222
Contig23	103890	472711	4.55	0	45
Contig24	101956	5498668	53.93	0	305
Contig25	101842	5031497	49.40	0	293
Contig26	101516	280432	2.76	0	39
Contig27	101398	6896202	68.01	0	641
Contig28	95547	4656565	48.74	0	283
Contig29	95481	10542	0.11	0	4
Contig30	91178	6512697	71.43	0	326
Contig31	89289	6833154	76.53	0	1094
Contig32	85415	69820	0.82	0	19
Contig33	82966	404664	4.88	0	97
Contig34	71306	5272843	73.95	0	542
Contig35	70975	1086149	15.30	0	229
Contig36	64586	2963636	45.89	0	177
Contig37	58712	3669048	62.49	0	545
Contig38	56242	52848	0.94	0	13
Contig39	55980	1555186	27.78	0	342
Contig40	55876	175164	3.13	0	97
Contig41	52538	519183	9.88	0	74
Contig42	52225	601194	11.51	0	155
Contig43	51935	1453236	27.98	0	233
Contig44	51768	302917	5.85	0	52
Contig45	51490	393615	7.64	0	95
Contig46	51380	3367776	65.55	0	325
Contig47	49726	125911	2.53	0	55
Contig48	47034	2686068	57.11	0	554
Contig49	46659	812821	17.42	0	88
Contig50	44853	366151	8.16	0	90
Contig51	44290	453252	10.23	0	48
Contig52	44013	327404	7.44	0	170
Contig53	42418	123078	2.90	0	31
Contig54	41552	2632741	63.36	0	545
Contig55	41080	386931	9.42	0	44
Contig56	40328	367198	9.11	0	63
Contig57	39615	228377	5.76	0	104
Contig58	39487	535370	13.56	0	224
Contig59	39137	1589527	40.61	0	598
Contig60	38884	216539	5.57	0	105
Contig61	37723	86652	2.30	0	50
Contig62	37648	559782	14.87	0	160
Contig63	37400	2294527	61.35	0	374
Contig64	37388	196788	5.26	0	87
Contig65	37121	278789	7.51	0	56
Contig66	36478	88699	2.43	0	60
Contig67	36157	203140	5.62	0	67
Contig68	35214	2155144	61.20	0	542
Contig69	35099	1562531	44.52	0	107
Contig70	34465	490536	14.23	0	530
Contig71	33919	219553	6.47	0	107
Contig72	33800	3555834	105.20	0	356
Contig73	33724	322020	9.55	0	47
